run,condition,scenario,trace_path,battery_csv_path,energy_total_mj,battery_energy_valid,battery_current_nonzero_samples,battery_current_nonzero_ratio,avg_current_ma,avg_voltage_v,duration_s,sample_count,avg_power_mw,avg_cpu_freq_mhz,cpu_big_core_pct,cpu_freq_residency_ghz_s,cpu_energy_proxy_score,cpu_energy_proxy_per_s,peak_memory_rss_kb,frame_janks,energy_method,parse_error
10,ssr,dynamic,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_113435/raw/run_10_ssr_dynamic.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_113435/raw/run_10_ssr_dynamic.battery.csv,6846.45,True,16,1.0,215.0,4.001,8.0,16,860.2,,,,,,,,adb_dumpsys_battery_polling,
11,ssr,massive,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_113435/raw/run_11_ssr_massive.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_113435/raw/run_11_ssr_massive.battery.csv,5419.1,True,15,1.0,183.0,3.999,7.4,15,731.8,,,,,,,,adb_dumpsys_battery_polling,
12,csr,massive,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_113435/raw/run_12_csr_massive.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_113435/raw/run_12_csr_massive.battery.csv,6917.45,True,17,1.0,208.76,3.99,8.3,17,836.7,,,,,,,,adb_dumpsys_battery_polling,
13,csr,dynamic,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_113435/raw/run_13_csr_dynamic.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_113435/raw/run_13_csr_dynamic.battery.csv,7110.8,True,17,1.0,217.0,3.985,8.2,17,864.7,,,,,,,,adb_dumpsys_battery_polling,
14,csr,massive,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_113435/raw/run_14_csr_massive.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_113435/raw/run_14_csr_massive.battery.csv,6689.36,True,18,1.0,192.0,3.995,8.7,18,767.0,,,,,,,,adb_dumpsys_battery_polling,
15,ssr,static,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_113435/raw/run_15_ssr_static.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_113435/raw/run_15_ssr_static.battery.csv,6103.53,True,15,1.0,214.0,3.994,7.1,15,854.7,,,,,,,,adb_dumpsys_battery_polling,
16,ssr,dynamic,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_113435/raw/run_16_ssr_dynamic.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_113435/raw/run_16_ssr_dynamic.battery.csv,6307.97,True,14,1.0,232.0,3.992,6.8,14,926.1,,,,,,,,adb_dumpsys_battery_polling,
17,csr,dynamic,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_113435/raw/run_17_csr_dynamic.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_113435/raw/run_17_csr_dynamic.battery.csv,6677.47,True,17,1.0,204.71,3.97,8.3,17,809.3,,,,,,,,adb_dumpsys_battery_polling,
18,csr,massive,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_113435/raw/run_18_csr_massive.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_113435/raw/run_18_csr_massive.battery.csv,6769.24,True,17,1.0,195.0,3.986,8.7,17,777.3,,,,,,,,adb_dumpsys_battery_polling,
19,ssr,massive,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_113435/raw/run_19_ssr_massive.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_113435/raw/run_19_ssr_massive.battery.csv,5066.68,True,15,1.0,181.0,3.987,7.0,15,721.6,,,,,,,,adb_dumpsys_battery_polling,
1,csr,massive,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_113435/raw/run_1_csr_massive.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_113435/raw/run_1_csr_massive.battery.csv,11210.19,True,17,1.0,279.94,4.009,9.9,17,1127.1,,,,,,,,adb_dumpsys_battery_polling,
20,ssr,static,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_113435/raw/run_20_ssr_static.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_113435/raw/run_20_ssr_static.battery.csv,5463.72,True,15,1.0,192.0,3.985,7.1,15,765.1,,,,,,,,adb_dumpsys_battery_polling,
21,ssr,static,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_113435/raw/run_21_ssr_static.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_113435/raw/run_21_ssr_static.battery.csv,5710.35,True,15,1.0,199.0,3.986,7.2,15,793.2,,,,,,,,adb_dumpsys_battery_polling,
22,csr,dynamic,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_113435/raw/run_22_csr_dynamic.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_113435/raw/run_22_csr_dynamic.battery.csv,6242.9,True,18,1.0,186.67,3.979,8.4,18,740.6,,,,,,,,adb_dumpsys_battery_polling,
23,csr,massive,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_113435/raw/run_23_csr_massive.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_113435/raw/run_23_csr_massive.battery.csv,40428.07,True,18,1.0,1147.78,3.898,8.8,18,4609.8,,,,,,,,adb_dumpsys_battery_polling,
24,ssr,dynamic,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_113435/raw/run_24_ssr_dynamic.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_113435/raw/run_24_ssr_dynamic.battery.csv,6295.75,True,16,1.0,204.0,3.977,7.8,16,811.3,,,,,,,,adb_dumpsys_battery_polling,
