timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775038054.241,-182000,3972000,260,3940000,dumpsys_battery
1775038054.756,-182000,3972000,260,3940000,dumpsys_battery
1775038055.282,-182000,3972000,260,3940000,dumpsys_battery
1775038055.728,-182000,3972000,260,3940000,dumpsys_battery
1775038056.172,-182000,3972000,260,3940000,dumpsys_battery
1775038056.575,-182000,3972000,260,3940000,dumpsys_battery
1775038057.060,-182000,3972000,260,3940000,dumpsys_battery
1775038057.489,-182000,3972000,260,3940000,dumpsys_battery
1775038057.916,-182000,3972000,260,3940000,dumpsys_battery
1775038058.463,-182000,3972000,260,3940000,dumpsys_battery
1775038058.947,-182000,3972000,260,3940000,dumpsys_battery
1775038059.519,-182000,3972000,260,3940000,dumpsys_battery
1775038059.989,-182000,3972000,260,3940000,dumpsys_battery
1775038060.497,-182000,3972000,260,3940000,dumpsys_battery
1775038060.999,-182000,3972000,260,3940000,dumpsys_battery
1775038061.497,-182000,3972000,260,3940000,dumpsys_battery
1775038062.044,-182000,3972000,260,3940000,dumpsys_battery
