timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775039303.465,-189000,3944000,260,3790000,dumpsys_battery
1775039303.976,-189000,3944000,260,3790000,dumpsys_battery
1775039304.518,-189000,3944000,260,3790000,dumpsys_battery
1775039304.945,-189000,3944000,260,3790000,dumpsys_battery
1775039305.399,-189000,3944000,260,3790000,dumpsys_battery
1775039305.921,-189000,3944000,260,3790000,dumpsys_battery
1775039306.321,-604000,3878000,260,3790000,dumpsys_battery
1775039306.860,-604000,3878000,260,3790000,dumpsys_battery
1775039307.375,-604000,3878000,260,3790000,dumpsys_battery
1775039307.891,-604000,3878000,260,3790000,dumpsys_battery
1775039308.399,-604000,3878000,260,3790000,dumpsys_battery
1775039308.939,-604000,3878000,260,3790000,dumpsys_battery
1775039309.397,-604000,3878000,260,3790000,dumpsys_battery
1775039309.890,-604000,3878000,260,3790000,dumpsys_battery
1775039310.336,-604000,3878000,260,3790000,dumpsys_battery
1775039310.827,-604000,3878000,260,3790000,dumpsys_battery
