timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775039107.306,-210000,3942000,260,3815000,dumpsys_battery
1775039107.880,-210000,3942000,260,3815000,dumpsys_battery
1775039108.394,-210000,3942000,260,3815000,dumpsys_battery
1775039108.920,-210000,3942000,260,3815000,dumpsys_battery
1775039109.374,-210000,3942000,260,3815000,dumpsys_battery
1775039109.909,-210000,3942000,260,3815000,dumpsys_battery
1775039110.338,-210000,3942000,260,3815000,dumpsys_battery
1775039110.866,-210000,3942000,260,3815000,dumpsys_battery
1775039111.374,-210000,3942000,260,3815000,dumpsys_battery
1775039111.885,-210000,3942000,260,3815000,dumpsys_battery
1775039112.405,-210000,3942000,260,3815000,dumpsys_battery
1775039112.907,-210000,3942000,260,3815000,dumpsys_battery
1775039113.419,-210000,3942000,260,3815000,dumpsys_battery
1775039113.832,-210000,3942000,260,3815000,dumpsys_battery
1775039114.285,-210000,3942000,260,3815000,dumpsys_battery
1775039114.856,-210000,3942000,260,3815000,dumpsys_battery
