timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775037132.040,-232000,3992000,260,4045000,dumpsys_battery
1775037132.554,-232000,3992000,260,4045000,dumpsys_battery
1775037133.066,-232000,3992000,260,4045000,dumpsys_battery
1775037133.637,-232000,3992000,260,4045000,dumpsys_battery
1775037134.058,-232000,3992000,260,4045000,dumpsys_battery
1775037134.548,-232000,3992000,260,4045000,dumpsys_battery
1775037134.978,-232000,3992000,260,4045000,dumpsys_battery
1775037135.541,-232000,3992000,260,4045000,dumpsys_battery
1775037136.102,-232000,3992000,260,4045000,dumpsys_battery
1775037136.713,-232000,3992000,260,4045000,dumpsys_battery
1775037137.325,-232000,3992000,260,4045000,dumpsys_battery
1775037137.888,-232000,3992000,260,4045000,dumpsys_battery
1775037138.390,-232000,3992000,260,4045000,dumpsys_battery
1775037138.851,-232000,3992000,260,4045000,dumpsys_battery
