timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775039434.020,-250000,3940000,260,3775000,dumpsys_battery
1775039434.542,-250000,3940000,260,3775000,dumpsys_battery
1775039435.092,-250000,3940000,260,3775000,dumpsys_battery
1775039435.530,-250000,3940000,260,3775000,dumpsys_battery
1775039435.961,-250000,3940000,260,3775000,dumpsys_battery
1775039436.458,-250000,3940000,260,3775000,dumpsys_battery
1775039436.902,-250000,3940000,260,3775000,dumpsys_battery
1775039437.507,-250000,3940000,260,3775000,dumpsys_battery
1775039438.025,-250000,3940000,260,3775000,dumpsys_battery
1775039438.537,-250000,3940000,260,3775000,dumpsys_battery
1775039439.044,-250000,3940000,260,3775000,dumpsys_battery
1775039439.556,-250000,3940000,260,3775000,dumpsys_battery
1775039440.085,-250000,3940000,260,3775000,dumpsys_battery
1775039440.504,-250000,3940000,260,3775000,dumpsys_battery
1775039440.879,-250000,3940000,260,3775000,dumpsys_battery
1775039441.335,-250000,3940000,260,3775000,dumpsys_battery
1775039441.822,-250000,3940000,260,3775000,dumpsys_battery
1775039442.254,-250000,3940000,260,3775000,dumpsys_battery
1775039442.726,-250000,3940000,260,3775000,dumpsys_battery
