timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775037791.084,-256000,3976000,260,3975000,dumpsys_battery
1775037791.599,-256000,3976000,260,3975000,dumpsys_battery
1775037792.119,-256000,3976000,260,3975000,dumpsys_battery
1775037792.603,-256000,3976000,260,3975000,dumpsys_battery
1775037793.084,-256000,3976000,260,3975000,dumpsys_battery
1775037793.631,-256000,3976000,260,3975000,dumpsys_battery
1775037794.058,-256000,3976000,260,3975000,dumpsys_battery
1775037794.510,-256000,3976000,260,3975000,dumpsys_battery
1775037794.995,-256000,3976000,260,3975000,dumpsys_battery
1775037795.491,-256000,3976000,260,3975000,dumpsys_battery
1775037796.012,-256000,3976000,260,3975000,dumpsys_battery
1775037796.580,-256000,3976000,260,3975000,dumpsys_battery
1775037797.136,-256000,3976000,260,3975000,dumpsys_battery
1775037797.584,-256000,3976000,260,3975000,dumpsys_battery
1775037798.059,-256000,3976000,260,3975000,dumpsys_battery
1775037798.576,-256000,3976000,260,3975000,dumpsys_battery
