timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775037525.508,-185000,3980000,260,4005000,dumpsys_battery
1775037525.964,-185000,3980000,260,4005000,dumpsys_battery
1775037526.476,-185000,3980000,260,4005000,dumpsys_battery
1775037527.003,-185000,3980000,260,4005000,dumpsys_battery
1775037527.467,-185000,3980000,260,4005000,dumpsys_battery
1775037527.900,-185000,3980000,260,4005000,dumpsys_battery
1775037528.337,-185000,3980000,260,4005000,dumpsys_battery
1775037528.779,-185000,3980000,260,4005000,dumpsys_battery
1775037529.261,-185000,3980000,260,4005000,dumpsys_battery
1775037529.772,-185000,3980000,260,4005000,dumpsys_battery
1775037530.292,-185000,3980000,260,4005000,dumpsys_battery
1775037530.835,-185000,3980000,260,4005000,dumpsys_battery
1775037531.328,-185000,3980000,260,4005000,dumpsys_battery
1775037531.834,-185000,3980000,260,4005000,dumpsys_battery
1775037532.329,-185000,3980000,260,4005000,dumpsys_battery
1775037532.847,-185000,3980000,260,4005000,dumpsys_battery
1775037533.310,-185000,3980000,260,4005000,dumpsys_battery
1775037533.937,-215000,3968000,260,4005000,dumpsys_battery
