timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775036405.928,-201000,4007000,260,4130000,dumpsys_battery
1775036406.466,-201000,4007000,260,4130000,dumpsys_battery
1775036407.124,-201000,4007000,260,4130000,dumpsys_battery
1775036407.592,-201000,4007000,260,4130000,dumpsys_battery
1775036408.090,-201000,4007000,260,4130000,dumpsys_battery
1775036408.656,-201000,4007000,260,4130000,dumpsys_battery
1775036409.103,-201000,4007000,260,4130000,dumpsys_battery
1775036409.620,-201000,4007000,260,4130000,dumpsys_battery
1775036410.207,-201000,4007000,260,4130000,dumpsys_battery
1775036410.761,-201000,4007000,260,4130000,dumpsys_battery
1775036411.266,-201000,4007000,260,4130000,dumpsys_battery
1775036411.779,-201000,4007000,260,4130000,dumpsys_battery
1775036412.296,-201000,4007000,260,4130000,dumpsys_battery
1775036412.838,-201000,4007000,260,4130000,dumpsys_battery
1775036413.301,-201000,4007000,260,4130000,dumpsys_battery
1775036413.804,-201000,4007000,260,4130000,dumpsys_battery
1775036414.264,-201000,4007000,260,4130000,dumpsys_battery
1775036414.764,-201000,4007000,260,4130000,dumpsys_battery
