timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775037197.270,-192000,3992000,260,4045000,dumpsys_battery
1775037197.788,-192000,3992000,260,4045000,dumpsys_battery
1775037198.324,-192000,3992000,260,4045000,dumpsys_battery
1775037198.732,-192000,3992000,260,4045000,dumpsys_battery
1775037199.201,-192000,3992000,260,4045000,dumpsys_battery
1775037199.709,-192000,3992000,260,4045000,dumpsys_battery
1775037200.118,-192000,3992000,260,4045000,dumpsys_battery
1775037200.681,-192000,3992000,260,4045000,dumpsys_battery
1775037201.230,-192000,3992000,260,4045000,dumpsys_battery
1775037201.839,-192000,3992000,260,4045000,dumpsys_battery
1775037202.467,-192000,3992000,260,4045000,dumpsys_battery
1775037203.111,-228000,3929000,260,4040000,dumpsys_battery
1775037203.545,-228000,3929000,260,4040000,dumpsys_battery
1775037204.008,-228000,3929000,260,4040000,dumpsys_battery
1775037204.454,-228000,3929000,260,4040000,dumpsys_battery
1775037204.958,-228000,3929000,260,4040000,dumpsys_battery
1775037205.521,-228000,3929000,260,4040000,dumpsys_battery
