timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775036472.583,-184000,4006000,260,4120000,dumpsys_battery
1775036473.201,-184000,4006000,260,4120000,dumpsys_battery
1775036473.783,-184000,4006000,260,4120000,dumpsys_battery
1775036474.256,-184000,4006000,260,4120000,dumpsys_battery
1775036474.735,-184000,4006000,260,4120000,dumpsys_battery
1775036475.252,-184000,4006000,260,4120000,dumpsys_battery
1775036475.715,-184000,4006000,260,4120000,dumpsys_battery
1775036476.323,-184000,4006000,260,4120000,dumpsys_battery
1775036476.923,-184000,4006000,260,4120000,dumpsys_battery
1775036477.534,-184000,4006000,260,4120000,dumpsys_battery
1775036478.159,-184000,4006000,260,4120000,dumpsys_battery
1775036478.770,-184000,4006000,260,4120000,dumpsys_battery
1775036479.363,-184000,4006000,260,4120000,dumpsys_battery
1775036479.876,-184000,4006000,260,4120000,dumpsys_battery
1775036480.405,-184000,4006000,260,4120000,dumpsys_battery
1775036480.901,-184000,4006000,260,4120000,dumpsys_battery
1775036481.472,-184000,4006000,260,4120000,dumpsys_battery
