timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775039500.725,-196000,3940000,260,3770000,dumpsys_battery
1775039501.318,-196000,3940000,260,3770000,dumpsys_battery
1775039501.808,-196000,3940000,260,3770000,dumpsys_battery
1775039502.332,-196000,3940000,260,3770000,dumpsys_battery
1775039502.848,-196000,3940000,260,3770000,dumpsys_battery
1775039503.279,-196000,3940000,260,3770000,dumpsys_battery
1775039503.699,-196000,3940000,260,3770000,dumpsys_battery
1775039504.178,-196000,3940000,260,3770000,dumpsys_battery
1775039504.698,-196000,3940000,260,3770000,dumpsys_battery
1775039505.249,-196000,3940000,260,3770000,dumpsys_battery
1775039505.869,-196000,3940000,260,3770000,dumpsys_battery
1775039506.490,-196000,3940000,260,3770000,dumpsys_battery
1775039506.919,-196000,3940000,260,3770000,dumpsys_battery
1775039507.331,-196000,3940000,260,3770000,dumpsys_battery
1775039507.840,-196000,3940000,260,3770000,dumpsys_battery
1775039508.378,-196000,3940000,260,3770000,dumpsys_battery
1775039508.939,-196000,3940000,260,3770000,dumpsys_battery
