timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775038778.915,-203000,3950000,260,3850000,dumpsys_battery
1775038779.425,-203000,3950000,260,3850000,dumpsys_battery
1775038779.859,-203000,3950000,260,3850000,dumpsys_battery
1775038780.369,-203000,3950000,260,3850000,dumpsys_battery
1775038780.817,-203000,3950000,260,3850000,dumpsys_battery
1775038781.248,-203000,3950000,260,3850000,dumpsys_battery
1775038781.797,-203000,3950000,260,3850000,dumpsys_battery
1775038782.352,-203000,3950000,260,3850000,dumpsys_battery
1775038782.812,-203000,3950000,260,3850000,dumpsys_battery
1775038783.342,-203000,3950000,260,3850000,dumpsys_battery
1775038783.891,-203000,3950000,260,3850000,dumpsys_battery
1775038784.517,-203000,3950000,260,3850000,dumpsys_battery
1775038784.952,-203000,3950000,260,3850000,dumpsys_battery
1775038785.389,-203000,3950000,260,3850000,dumpsys_battery
1775038785.904,-203000,3950000,260,3850000,dumpsys_battery
