timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775035164.297,-178000,4028000,259,4260000,dumpsys_battery
1775035164.990,-178000,4028000,259,4260000,dumpsys_battery
1775035165.433,-178000,4028000,259,4260000,dumpsys_battery
1775035166.013,-178000,4028000,259,4260000,dumpsys_battery
1775035166.420,-178000,4028000,259,4260000,dumpsys_battery
1775035166.884,-178000,4028000,259,4260000,dumpsys_battery
1775035167.319,-178000,4028000,259,4260000,dumpsys_battery
1775035167.742,-178000,4028000,259,4260000,dumpsys_battery
1775035168.260,-178000,4028000,259,4260000,dumpsys_battery
1775035168.810,-178000,4028000,259,4260000,dumpsys_battery
1775035169.406,-178000,4028000,259,4260000,dumpsys_battery
1775035169.983,-178000,4028000,259,4260000,dumpsys_battery
1775035170.511,-178000,4028000,259,4260000,dumpsys_battery
1775035171.005,-178000,4028000,259,4260000,dumpsys_battery
1775035171.426,-178000,4028000,259,4260000,dumpsys_battery
1775035171.944,-178000,4028000,259,4260000,dumpsys_battery
1775035172.503,-178000,4028000,259,4260000,dumpsys_battery
1775035173.000,-178000,4028000,259,4260000,dumpsys_battery
