run,condition,scenario,temp_c,timestamp
1,csr,massive,24.6,2026-04-01T08:47:50Z
2,csr,static,24.7,2026-04-01T08:48:31Z
3,ssr,dynamic,24.7,2026-04-01T08:49:13Z
4,ssr,massive,24.7,2026-04-01T08:49:53Z
5,ssr,dynamic,24.8,2026-04-01T08:50:33Z
6,csr,massive,24.9,2026-04-01T08:51:14Z
7,csr,dynamic,24.9,2026-04-01T08:51:56Z
8,csr,dynamic,24.9,2026-04-01T08:52:38Z
9,csr,static,25.0,2026-04-01T08:53:18Z
10,csr,massive,25.0,2026-04-01T08:54:00Z
11,csr,dynamic,25.0,2026-04-01T08:54:41Z
12,ssr,massive,25.1,2026-04-01T08:55:23Z
13,ssr,dynamic,25.1,2026-04-01T08:56:03Z
14,ssr,static,25.1,2026-04-01T08:56:44Z
15,csr,dynamic,25.2,2026-04-01T08:57:24Z
16,csr,static,25.2,2026-04-01T08:58:05Z
17,ssr,static,25.3,2026-04-01T08:58:46Z
18,ssr,massive,25.3,2026-04-01T08:59:26Z
19,ssr,dynamic,25.3,2026-04-01T09:00:07Z
20,csr,static,25.4,2026-04-01T09:00:47Z
21,csr,massive,25.4,2026-04-01T09:01:28Z
22,csr,static,25.4,2026-04-01T09:02:10Z
23,ssr,dynamic,25.5,2026-04-01T09:02:52Z
24,csr,dynamic,25.4,2026-04-01T09:03:33Z
25,ssr,massive,25.5,2026-04-01T09:04:15Z
26,ssr,static,25.5,2026-04-01T09:04:55Z
27,ssr,dynamic,25.5,2026-04-01T09:05:35Z
28,ssr,static,25.6,2026-04-01T09:06:15Z
29,csr,massive,25.6,2026-04-01T09:06:56Z
30,ssr,massive,25.6,2026-04-01T09:07:38Z
31,ssr,static,25.6,2026-04-01T09:08:19Z
32,csr,static,25.7,2026-04-01T09:08:59Z
33,csr,static,25.7,2026-04-01T09:09:41Z
34,csr,dynamic,25.7,2026-04-01T09:10:22Z
35,ssr,massive,25.7,2026-04-01T09:11:04Z
36,csr,static,25.7,2026-04-01T09:11:45Z
37,ssr,static,25.7,2026-04-01T09:12:26Z
38,csr,dynamic,25.7,2026-04-01T09:13:07Z
39,ssr,dynamic,25.8,2026-04-01T09:13:50Z
40,csr,dynamic,25.8,2026-04-01T09:14:30Z
41,ssr,static,25.8,2026-04-01T09:15:13Z
42,csr,massive,25.8,2026-04-01T09:15:54Z
43,ssr,static,25.8,2026-04-01T09:16:35Z
44,ssr,massive,25.9,2026-04-01T09:17:15Z
45,csr,static,25.9,2026-04-01T09:17:56Z
46,ssr,static,25.9,2026-04-01T09:18:37Z
47,csr,massive,25.9,2026-04-01T09:19:18Z
48,csr,massive,25.9,2026-04-01T09:20:00Z
49,csr,dynamic,25.9,2026-04-01T09:20:43Z
50,ssr,dynamic,25.9,2026-04-01T09:21:27Z
51,csr,dynamic,25.9,2026-04-01T09:22:08Z
52,csr,static,26.0,2026-04-01T09:22:50Z
53,ssr,massive,25.9,2026-04-01T09:23:31Z
54,csr,massive,25.9,2026-04-01T09:24:11Z
55,ssr,massive,26.0,2026-04-01T09:24:52Z
56,ssr,dynamic,26.0,2026-04-01T09:25:32Z
57,ssr,dynamic,26.0,2026-04-01T09:26:13Z
58,ssr,static,26.0,2026-04-01T09:26:53Z
59,ssr,massive,26.0,2026-04-01T09:27:33Z
60,csr,massive,26.1,2026-04-01T09:28:13Z
