timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775034053.158,-185000,4048000,254,4390000,dumpsys_battery
1775034053.706,-185000,4048000,254,4390000,dumpsys_battery
1775034054.171,-185000,4048000,254,4390000,dumpsys_battery
1775034054.844,-185000,4048000,254,4390000,dumpsys_battery
1775034055.274,-185000,4048000,254,4390000,dumpsys_battery
1775034055.775,-185000,4048000,254,4390000,dumpsys_battery
1775034056.311,-185000,4048000,254,4390000,dumpsys_battery
1775034056.768,-185000,4048000,254,4390000,dumpsys_battery
1775034057.243,-185000,4048000,254,4390000,dumpsys_battery
1775034057.782,-185000,4048000,254,4390000,dumpsys_battery
1775034058.275,-185000,4048000,254,4390000,dumpsys_battery
1775034058.843,-185000,4048000,254,4390000,dumpsys_battery
1775034059.280,-185000,4048000,254,4390000,dumpsys_battery
1775034059.800,-185000,4048000,254,4390000,dumpsys_battery
1775034060.241,-185000,4048000,254,4390000,dumpsys_battery
1775034060.761,-185000,4048000,254,4390000,dumpsys_battery
1775034061.200,-185000,4048000,254,4390000,dumpsys_battery
1775034061.754,-185000,4048000,254,4390000,dumpsys_battery
