timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775033563.858,-215000,4055000,249,4455000,dumpsys_battery
1775033564.460,-215000,4055000,249,4455000,dumpsys_battery
1775033564.904,-215000,4055000,249,4455000,dumpsys_battery
1775033565.433,-215000,4055000,249,4455000,dumpsys_battery
1775033565.960,-215000,4055000,249,4455000,dumpsys_battery
1775033566.370,-215000,4055000,249,4455000,dumpsys_battery
1775033566.820,-215000,4055000,249,4455000,dumpsys_battery
1775033567.366,-215000,4055000,249,4455000,dumpsys_battery
1775033567.934,-469000,4052000,249,4450000,dumpsys_battery
1775033568.542,-469000,4052000,249,4450000,dumpsys_battery
1775033569.104,-469000,4052000,249,4450000,dumpsys_battery
1775033569.704,-469000,4052000,249,4450000,dumpsys_battery
1775033570.107,-469000,4052000,249,4450000,dumpsys_battery
1775033570.691,-469000,4052000,249,4450000,dumpsys_battery
1775033571.237,-469000,4052000,249,4450000,dumpsys_battery
1775033571.839,-469000,4052000,249,4450000,dumpsys_battery
