timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775033439.169,-187000,4058000,248,4470000,dumpsys_battery
1775033439.851,-187000,4058000,248,4470000,dumpsys_battery
1775033440.571,-187000,4058000,248,4470000,dumpsys_battery
1775033441.134,-187000,4058000,248,4470000,dumpsys_battery
1775033441.639,-187000,4058000,248,4470000,dumpsys_battery
1775033442.166,-187000,4058000,248,4470000,dumpsys_battery
1775033442.634,-187000,4058000,248,4470000,dumpsys_battery
1775033443.192,-187000,4058000,248,4470000,dumpsys_battery
1775033443.810,-187000,4058000,248,4470000,dumpsys_battery
1775033444.454,-187000,4058000,248,4470000,dumpsys_battery
1775033445.079,-187000,4058000,248,4470000,dumpsys_battery
1775033445.718,-187000,4058000,248,4470000,dumpsys_battery
1775033446.317,-187000,4058000,248,4470000,dumpsys_battery
1775033446.940,-187000,4058000,248,4470000,dumpsys_battery
