timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775034504.964,-197000,4040000,256,4335000,dumpsys_battery
1775034505.502,-197000,4040000,256,4335000,dumpsys_battery
1775034506.177,-197000,4040000,256,4335000,dumpsys_battery
1775034506.775,-197000,4040000,256,4335000,dumpsys_battery
1775034507.240,-197000,4040000,256,4335000,dumpsys_battery
1775034507.709,-197000,4040000,256,4335000,dumpsys_battery
1775034508.210,-197000,4040000,256,4335000,dumpsys_battery
1775034508.769,-197000,4040000,256,4335000,dumpsys_battery
1775034509.468,-197000,4040000,256,4335000,dumpsys_battery
1775034510.192,-197000,4040000,256,4335000,dumpsys_battery
1775034510.781,-197000,4040000,256,4335000,dumpsys_battery
1775034511.374,-197000,4040000,256,4335000,dumpsys_battery
1775034511.980,-197000,4040000,256,4335000,dumpsys_battery
