timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775033480.133,-261000,4050000,248,4460000,dumpsys_battery
1775033480.810,-261000,4050000,248,4460000,dumpsys_battery
1775033481.400,-261000,4050000,248,4460000,dumpsys_battery
1775033481.870,-261000,4050000,248,4460000,dumpsys_battery
1775033482.390,-261000,4050000,248,4460000,dumpsys_battery
1775033483.073,-261000,4050000,248,4460000,dumpsys_battery
1775033483.616,-261000,4050000,248,4460000,dumpsys_battery
1775033484.167,-261000,4050000,248,4460000,dumpsys_battery
1775033484.893,-261000,4050000,248,4460000,dumpsys_battery
1775033485.550,-261000,4050000,248,4460000,dumpsys_battery
1775033486.280,-261000,4050000,248,4460000,dumpsys_battery
1775033486.813,-261000,4050000,248,4460000,dumpsys_battery
1775033487.323,-261000,4050000,248,4460000,dumpsys_battery
1775033488.022,-261000,4050000,248,4460000,dumpsys_battery
1775033488.553,-261000,4050000,248,4460000,dumpsys_battery
