timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775034752.667,-197000,4035000,257,4310000,dumpsys_battery
1775034753.261,-197000,4035000,257,4310000,dumpsys_battery
1775034753.835,-197000,4035000,257,4310000,dumpsys_battery
1775034754.336,-197000,4035000,257,4310000,dumpsys_battery
1775034754.943,-197000,4035000,257,4310000,dumpsys_battery
1775034755.560,-197000,4035000,257,4310000,dumpsys_battery
1775034756.031,-197000,4035000,257,4310000,dumpsys_battery
1775034756.608,-197000,4035000,257,4310000,dumpsys_battery
1775034757.205,-197000,4035000,257,4310000,dumpsys_battery
1775034757.822,-197000,4035000,257,4310000,dumpsys_battery
1775034758.432,-197000,4035000,257,4310000,dumpsys_battery
1775034759.038,-197000,4035000,257,4310000,dumpsys_battery
1775034759.489,-197000,4035000,257,4310000,dumpsys_battery
1775034760.000,-197000,4035000,257,4310000,dumpsys_battery
1775034760.597,-197000,4035000,257,4310000,dumpsys_battery
