timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775035497.999,-184000,4022000,260,4225000,dumpsys_battery
1775035498.641,-184000,4022000,260,4225000,dumpsys_battery
1775035499.067,-184000,4022000,260,4225000,dumpsys_battery
1775035499.601,-184000,4022000,260,4225000,dumpsys_battery
1775035500.182,-184000,4022000,260,4225000,dumpsys_battery
1775035500.580,-184000,4022000,260,4225000,dumpsys_battery
1775035501.011,-184000,4022000,260,4225000,dumpsys_battery
1775035501.512,-184000,4022000,260,4225000,dumpsys_battery
1775035502.161,-184000,4022000,260,4225000,dumpsys_battery
1775035502.750,-184000,4022000,260,4225000,dumpsys_battery
1775035503.247,-184000,4022000,260,4225000,dumpsys_battery
1775035503.761,-184000,4022000,260,4225000,dumpsys_battery
1775035504.271,-184000,4022000,260,4225000,dumpsys_battery
1775035504.955,-184000,4022000,260,4225000,dumpsys_battery
1775035505.526,-184000,4022000,260,4225000,dumpsys_battery
