timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775033317.750,-190000,4062000,247,4490000,dumpsys_battery
1775033318.364,-190000,4062000,247,4490000,dumpsys_battery
1775033318.939,-190000,4062000,247,4490000,dumpsys_battery
1775033319.416,-190000,4062000,247,4490000,dumpsys_battery
1775033319.881,-190000,4062000,247,4490000,dumpsys_battery
1775033320.419,-190000,4062000,247,4490000,dumpsys_battery
1775033320.827,-190000,4062000,247,4490000,dumpsys_battery
1775033321.314,-190000,4062000,247,4490000,dumpsys_battery
1775033321.855,-190000,4062000,247,4490000,dumpsys_battery
1775033322.419,-190000,4062000,247,4490000,dumpsys_battery
1775033322.974,-190000,4062000,247,4490000,dumpsys_battery
1775033323.441,-190000,4062000,247,4490000,dumpsys_battery
1775033323.952,-190000,4062000,247,4490000,dumpsys_battery
1775033324.467,-190000,4062000,247,4490000,dumpsys_battery
1775033324.927,-190000,4062000,247,4490000,dumpsys_battery
1775033325.402,-190000,4062000,247,4490000,dumpsys_battery
1775033325.838,-190000,4062000,247,4490000,dumpsys_battery
1775033326.320,-190000,4062000,247,4490000,dumpsys_battery
