timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775034877.450,-251000,4034000,258,4295000,dumpsys_battery
1775034878.057,-251000,4034000,258,4295000,dumpsys_battery
1775034878.626,-251000,4034000,258,4295000,dumpsys_battery
1775034879.149,-251000,4034000,258,4295000,dumpsys_battery
1775034879.663,-251000,4034000,258,4295000,dumpsys_battery
1775034880.136,-251000,4034000,258,4295000,dumpsys_battery
1775034880.630,-251000,4034000,258,4295000,dumpsys_battery
1775034881.213,-251000,4034000,258,4295000,dumpsys_battery
1775034881.879,-251000,4034000,258,4295000,dumpsys_battery
1775034882.489,-251000,4034000,258,4295000,dumpsys_battery
1775034883.057,-251000,4034000,258,4295000,dumpsys_battery
1775034883.724,-251000,4034000,258,4295000,dumpsys_battery
1775034884.213,-251000,4034000,258,4295000,dumpsys_battery
1775034884.794,-251000,4034000,258,4295000,dumpsys_battery
1775034885.413,-251000,4034000,258,4295000,dumpsys_battery
1775034885.922,-251000,4034000,258,4295000,dumpsys_battery
1775034886.539,-251000,4034000,258,4295000,dumpsys_battery
