timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775035699.780,-388000,4011000,261,4205000,dumpsys_battery
1775035700.347,-388000,4011000,261,4205000,dumpsys_battery
1775035700.824,-1260000,3963000,261,4200000,dumpsys_battery
1775035701.403,-1260000,3963000,261,4200000,dumpsys_battery
1775035701.924,-1260000,3963000,261,4200000,dumpsys_battery
1775035702.373,-1260000,3963000,261,4200000,dumpsys_battery
1775035702.792,-1260000,3963000,261,4200000,dumpsys_battery
1775035703.294,-1260000,3963000,261,4200000,dumpsys_battery
1775035703.900,-1260000,3963000,261,4200000,dumpsys_battery
1775035704.493,-1260000,3963000,261,4200000,dumpsys_battery
1775035704.980,-1260000,3963000,261,4200000,dumpsys_battery
1775035705.492,-1260000,3963000,261,4200000,dumpsys_battery
1775035706.001,-1260000,3963000,261,4200000,dumpsys_battery
1775035706.436,-1260000,3963000,261,4200000,dumpsys_battery
1775035706.862,-1260000,3963000,261,4200000,dumpsys_battery
1775035707.332,-1260000,3963000,261,4200000,dumpsys_battery
1775035707.810,-1260000,3963000,261,4200000,dumpsys_battery
1775035708.468,-1260000,3963000,261,4200000,dumpsys_battery
