run,condition,scenario,trace_path,battery_csv_path,energy_total_mj,battery_energy_valid,battery_current_nonzero_samples,battery_current_nonzero_ratio,avg_current_ma,avg_voltage_v,duration_s,sample_count,avg_power_mw,avg_cpu_freq_mhz,cpu_big_core_pct,cpu_freq_residency_ghz_s,cpu_energy_proxy_score,cpu_energy_proxy_per_s,peak_memory_rss_kb,frame_janks,energy_method,parse_error
49,csr,dynamic,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_49_csr_dynamic.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_49_csr_dynamic.battery.csv,7495.02,True,18,1.0,182.17,4.018,10.3,18,727.7,,,,,,,,adb_dumpsys_battery_polling,
4,ssr,massive,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_4_ssr_massive.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_4_ssr_massive.battery.csv,5101.52,True,14,1.0,179.0,4.061,7.0,14,726.9,,,,,,,,adb_dumpsys_battery_polling,
50,ssr,dynamic,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_50_ssr_dynamic.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_50_ssr_dynamic.battery.csv,6181.96,True,15,1.0,193.0,4.026,8.0,15,777.0,,,,,,,,adb_dumpsys_battery_polling,
51,csr,dynamic,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_51_csr_dynamic.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_51_csr_dynamic.battery.csv,8078.85,True,17,1.0,239.0,4.019,8.4,17,960.5,,,,,,,,adb_dumpsys_battery_polling,
52,csr,static,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_52_csr_static.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_52_csr_static.battery.csv,10887.43,True,16,1.0,333.0,4.024,8.1,16,1340.0,,,,,,,,adb_dumpsys_battery_polling,
53,ssr,massive,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_53_ssr_massive.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_53_ssr_massive.battery.csv,5197.63,True,15,1.0,181.0,4.023,7.1,15,728.2,,,,,,,,adb_dumpsys_battery_polling,
54,csr,massive,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_54_csr_massive.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_54_csr_massive.battery.csv,7977.4,True,16,1.0,250.62,4.016,7.9,16,1005.9,,,,,,,,adb_dumpsys_battery_polling,
55,ssr,massive,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_55_ssr_massive.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_55_ssr_massive.battery.csv,5570.34,True,15,1.0,184.0,4.022,7.5,15,740.0,,,,,,,,adb_dumpsys_battery_polling,
56,ssr,dynamic,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_56_ssr_dynamic.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_56_ssr_dynamic.battery.csv,8246.59,True,14,1.0,272.0,4.021,7.5,14,1093.7,,,,,,,,adb_dumpsys_battery_polling,
57,ssr,dynamic,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_57_ssr_dynamic.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_57_ssr_dynamic.battery.csv,31956.61,True,15,1.0,1054.6,4.009,7.4,15,4311.5,,,,,,,,adb_dumpsys_battery_polling,
58,ssr,static,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_58_ssr_static.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_58_ssr_static.battery.csv,5848.97,True,15,1.0,196.0,4.018,7.4,15,787.5,,,,,,,,adb_dumpsys_battery_polling,
59,ssr,massive,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_59_ssr_massive.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_59_ssr_massive.battery.csv,6598.04,True,16,1.0,219.0,4.016,7.5,16,879.5,,,,,,,,adb_dumpsys_battery_polling,
5,ssr,dynamic,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_5_ssr_dynamic.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_5_ssr_dynamic.battery.csv,5896.99,True,14,1.0,187.0,4.058,7.8,14,758.8,,,,,,,,adb_dumpsys_battery_polling,
60,csr,massive,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_60_csr_massive.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_60_csr_massive.battery.csv,40613.89,True,18,1.0,1163.11,3.968,8.7,18,4674.7,,,,,,,,adb_dumpsys_battery_polling,
6,csr,massive,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_6_csr_massive.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_6_csr_massive.battery.csv,8900.36,True,15,1.0,261.0,4.05,8.4,15,1057.0,,,,,,,,adb_dumpsys_battery_polling,
7,csr,dynamic,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_7_csr_dynamic.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_7_csr_dynamic.battery.csv,6723.81,True,19,1.0,182.0,4.058,9.1,19,738.6,,,,,,,,adb_dumpsys_battery_polling,
8,csr,dynamic,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_8_csr_dynamic.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_8_csr_dynamic.battery.csv,11266.69,True,16,1.0,342.0,4.053,8.0,16,1411.7,,,,,,,,adb_dumpsys_battery_polling,
9,csr,static,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_9_csr_static.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_9_csr_static.battery.csv,6473.38,True,17,1.0,190.0,4.056,8.4,17,770.6,,,,,,,,adb_dumpsys_battery_polling,
