run,condition,scenario,temp_c,timestamp
1,csr,static,26.5,2026-03-30T17:05:06Z
2,csr,massive,26.5,2026-03-30T17:06:10Z
3,ssr,dynamic,26.5,2026-03-30T17:07:15Z
4,csr,dynamic,26.4,2026-03-30T17:08:18Z
5,ssr,dynamic,26.4,2026-03-30T17:09:24Z
6,csr,massive,26.4,2026-03-30T17:10:27Z
7,csr,dynamic,26.4,2026-03-30T17:11:32Z
8,ssr,massive,26.4,2026-03-30T17:12:36Z
9,ssr,massive,26.4,2026-03-30T17:13:39Z
10,csr,static,26.4,2026-03-30T17:14:43Z
11,ssr,dynamic,26.3,2026-03-30T17:15:48Z
12,csr,massive,26.3,2026-03-30T17:16:52Z
13,ssr,massive,26.3,2026-03-30T17:17:57Z
14,csr,massive,26.3,2026-03-30T17:19:01Z
15,csr,static,26.3,2026-03-30T17:20:05Z
16,ssr,massive,26.3,2026-03-30T17:21:10Z
17,ssr,massive,26.3,2026-03-30T17:22:14Z
18,ssr,static,26.3,2026-03-30T17:23:17Z
19,ssr,static,26.3,2026-03-30T17:24:20Z
20,ssr,static,26.3,2026-03-30T17:25:24Z
21,ssr,static,26.3,2026-03-30T17:26:27Z
22,ssr,dynamic,26.3,2026-03-30T17:27:31Z
23,ssr,dynamic,26.3,2026-03-30T17:28:35Z
24,csr,static,26.2,2026-03-30T17:29:38Z
25,csr,dynamic,26.2,2026-03-30T17:30:42Z
26,csr,dynamic,26.2,2026-03-30T17:31:46Z
27,csr,static,26.2,2026-03-30T17:32:50Z
28,csr,massive,26.2,2026-03-30T17:33:55Z
29,ssr,static,26.2,2026-03-30T17:34:59Z
30,csr,dynamic,26.2,2026-03-30T17:36:02Z
31,ssr,dynamic,26.2,2026-03-30T17:37:07Z
32,ssr,massive,26.2,2026-03-30T17:38:12Z
33,csr,dynamic,26.2,2026-03-30T17:39:15Z
34,csr,massive,26.2,2026-03-30T17:40:19Z
35,ssr,static,26.2,2026-03-30T17:41:24Z
36,csr,static,26.2,2026-03-30T17:42:28Z
37,ssr,static,26.2,2026-03-30T17:43:32Z
38,ssr,static,26.2,2026-03-30T17:44:36Z
39,csr,dynamic,26.2,2026-03-30T17:45:39Z
40,ssr,dynamic,26.2,2026-03-30T17:46:43Z
41,ssr,static,26.2,2026-03-30T17:47:46Z
42,ssr,static,26.2,2026-03-30T17:48:49Z
43,csr,static,26.2,2026-03-30T17:49:53Z
44,csr,static,26.2,2026-03-30T17:50:58Z
45,ssr,dynamic,26.2,2026-03-30T17:52:02Z
46,ssr,massive,26.2,2026-03-30T17:53:06Z
47,ssr,massive,26.1,2026-03-30T17:54:09Z
48,csr,dynamic,26.1,2026-03-30T17:55:12Z
49,csr,massive,26.1,2026-03-30T17:56:16Z
50,csr,static,26.1,2026-03-30T17:57:21Z
51,csr,massive,26.1,2026-03-30T17:58:25Z
52,ssr,static,26.1,2026-03-30T17:59:29Z
53,csr,dynamic,26.1,2026-03-30T18:00:32Z
54,csr,static,26.1,2026-03-30T18:01:37Z
55,csr,dynamic,26.1,2026-03-30T18:02:42Z
56,csr,massive,26.1,2026-03-30T18:03:48Z
57,csr,dynamic,26.1,2026-03-30T18:04:53Z
58,ssr,massive,26.1,2026-03-30T18:05:57Z
59,ssr,static,26.1,2026-03-30T18:07:01Z
60,csr,static,26.1,2026-03-30T18:08:05Z
61,ssr,static,26.1,2026-03-30T18:09:09Z
62,ssr,dynamic,26.1,2026-03-30T18:10:12Z
63,ssr,massive,26.1,2026-03-30T18:11:17Z
64,csr,static,26.1,2026-03-30T18:12:20Z
65,ssr,massive,26.1,2026-03-30T18:13:25Z
66,csr,massive,26.1,2026-03-30T18:14:30Z
67,ssr,static,26.1,2026-03-30T18:15:34Z
68,csr,massive,26.1,2026-03-30T18:16:37Z
69,csr,massive,26.1,2026-03-30T18:17:41Z
70,ssr,dynamic,26.1,2026-03-30T18:18:46Z
71,csr,massive,26.1,2026-03-30T18:19:49Z
72,ssr,massive,26.1,2026-03-30T18:20:53Z
73,ssr,dynamic,26.0,2026-03-30T18:21:57Z
74,csr,massive,26.0,2026-03-30T18:23:01Z
75,csr,massive,26.0,2026-03-30T18:24:05Z
76,csr,dynamic,26.0,2026-03-30T18:25:10Z
77,csr,static,26.0,2026-03-30T18:26:17Z
78,csr,dynamic,26.0,2026-03-30T18:27:21Z
79,ssr,massive,26.0,2026-03-30T18:28:25Z
80,csr,static,26.0,2026-03-30T18:29:29Z
81,ssr,dynamic,26.0,2026-03-30T18:30:33Z
82,ssr,massive,26.0,2026-03-30T18:31:37Z
83,csr,static,26.0,2026-03-30T18:32:40Z
84,ssr,static,26.0,2026-03-30T18:33:45Z
85,ssr,massive,26.0,2026-03-30T18:34:50Z
86,csr,static,26.0,2026-03-30T18:35:53Z
87,csr,static,26.0,2026-03-30T18:36:58Z
88,csr,static,26.0,2026-03-30T18:38:02Z
89,csr,massive,26.0,2026-03-30T18:39:07Z
90,csr,dynamic,26.0,2026-03-30T18:40:11Z
91,ssr,dynamic,26.0,2026-03-30T18:41:15Z
92,csr,dynamic,26.0,2026-03-30T18:42:19Z
93,csr,dynamic,26.0,2026-03-30T18:43:23Z
94,csr,massive,25.9,2026-03-30T18:44:28Z
95,ssr,static,25.9,2026-03-30T18:45:32Z
96,ssr,dynamic,25.9,2026-03-30T18:46:35Z
97,ssr,dynamic,25.9,2026-03-30T18:47:39Z
98,ssr,static,25.9,2026-03-30T18:48:43Z
99,csr,massive,25.9,2026-03-30T18:49:46Z
100,csr,dynamic,25.9,2026-03-30T18:50:50Z
101,csr,dynamic,25.9,2026-03-30T18:51:55Z
102,ssr,static,25.9,2026-03-30T18:52:59Z
103,csr,dynamic,25.9,2026-03-30T18:54:03Z
104,ssr,massive,25.9,2026-03-30T18:55:07Z
105,ssr,massive,25.9,2026-03-30T18:56:10Z
106,ssr,static,25.9,2026-03-30T18:57:14Z
107,csr,massive,25.9,2026-03-30T18:58:17Z
108,ssr,dynamic,25.9,2026-03-30T18:59:21Z
109,csr,dynamic,25.9,2026-03-30T19:00:25Z
110,ssr,dynamic,25.9,2026-03-30T19:01:29Z
111,ssr,static,25.9,2026-03-30T19:02:32Z
112,csr,static,25.9,2026-03-30T19:03:36Z
113,ssr,dynamic,25.9,2026-03-30T19:04:40Z
114,ssr,static,25.9,2026-03-30T19:05:43Z
115,ssr,massive,25.9,2026-03-30T19:06:47Z
116,csr,dynamic,25.9,2026-03-30T19:07:51Z
117,csr,static,25.9,2026-03-30T19:08:56Z
118,csr,massive,25.9,2026-03-30T19:10:02Z
119,ssr,dynamic,25.9,2026-03-30T19:11:07Z
120,ssr,massive,25.9,2026-03-30T19:12:10Z
121,csr,massive,25.9,2026-03-30T19:13:13Z
122,csr,static,25.9,2026-03-30T19:14:18Z
123,csr,dynamic,25.9,2026-03-30T19:15:24Z
124,csr,massive,25.9,2026-03-30T19:16:28Z
125,ssr,massive,25.9,2026-03-30T19:17:31Z
126,ssr,massive,25.9,2026-03-30T19:18:35Z
127,ssr,massive,25.9,2026-03-30T19:19:39Z
128,csr,static,25.9,2026-03-30T19:20:42Z
129,ssr,dynamic,25.9,2026-03-30T19:21:46Z
130,ssr,dynamic,25.9,2026-03-30T19:22:49Z
131,csr,static,25.9,2026-03-30T19:23:52Z
132,csr,massive,25.9,2026-03-30T19:24:57Z
133,ssr,massive,25.9,2026-03-30T19:26:01Z
134,ssr,massive,25.9,2026-03-30T19:27:05Z
135,ssr,static,25.9,2026-03-30T19:28:07Z
136,ssr,static,25.9,2026-03-30T19:29:11Z
137,csr,massive,25.9,2026-03-30T19:30:14Z
138,csr,massive,25.9,2026-03-30T19:31:19Z
139,csr,static,25.9,2026-03-30T19:32:25Z
140,csr,static,25.9,2026-03-30T19:33:31Z
141,csr,massive,25.9,2026-03-30T19:34:35Z
142,ssr,massive,25.9,2026-03-30T19:35:39Z
143,csr,dynamic,25.9,2026-03-30T19:36:43Z
144,csr,static,25.9,2026-03-30T19:37:47Z
145,csr,massive,25.9,2026-03-30T19:38:52Z
146,ssr,massive,25.9,2026-03-30T19:39:57Z
147,csr,static,25.9,2026-03-30T19:41:01Z
148,csr,massive,25.9,2026-03-30T19:42:06Z
149,csr,static,25.9,2026-03-30T19:43:11Z
150,ssr,massive,25.9,2026-03-30T19:44:16Z
151,csr,static,25.9,2026-03-30T19:45:20Z
152,ssr,static,25.9,2026-03-30T19:46:24Z
153,ssr,static,25.9,2026-03-30T19:47:28Z
154,ssr,dynamic,25.9,2026-03-30T19:48:32Z
155,ssr,static,25.9,2026-03-30T19:49:36Z
156,ssr,massive,25.9,2026-03-30T19:50:39Z
157,ssr,dynamic,25.9,2026-03-30T19:51:43Z
158,csr,static,25.9,2026-03-30T19:52:46Z
159,ssr,dynamic,25.9,2026-03-30T19:53:50Z
160,ssr,static,25.9,2026-03-30T19:54:54Z
161,csr,dynamic,25.9,2026-03-30T19:55:58Z
162,ssr,static,25.9,2026-03-30T19:57:05Z
163,ssr,dynamic,25.9,2026-03-30T19:58:09Z
164,csr,dynamic,25.9,2026-03-30T19:59:12Z
165,csr,dynamic,25.9,2026-03-30T20:00:17Z
166,csr,dynamic,25.9,2026-03-30T20:01:22Z
167,csr,dynamic,25.9,2026-03-30T20:02:27Z
168,ssr,massive,25.9,2026-03-30T20:03:32Z
169,ssr,static,25.9,2026-03-30T20:04:35Z
170,csr,dynamic,25.9,2026-03-30T20:05:39Z
171,ssr,dynamic,25.9,2026-03-30T20:06:43Z
172,csr,dynamic,25.9,2026-03-30T20:07:46Z
173,ssr,massive,25.9,2026-03-30T20:08:51Z
174,csr,massive,25.9,2026-03-30T20:09:54Z
175,ssr,dynamic,25.9,2026-03-30T20:10:58Z
176,ssr,dynamic,25.9,2026-03-30T20:12:02Z
177,csr,massive,25.9,2026-03-30T20:13:05Z
178,ssr,dynamic,25.9,2026-03-30T20:14:09Z
179,ssr,dynamic,25.9,2026-03-30T20:15:15Z
180,ssr,static,25.9,2026-03-30T20:16:19Z
