run,condition,scenario,trace_path,battery_csv_path,energy_total_mj,battery_energy_valid,battery_current_nonzero_samples,battery_current_nonzero_ratio,avg_current_ma,avg_voltage_v,duration_s,sample_count,avg_power_mw,avg_cpu_freq_mhz,cpu_big_core_pct,cpu_freq_residency_ghz_s,cpu_energy_proxy_score,cpu_energy_proxy_per_s,peak_memory_rss_kb,frame_janks,energy_method,parse_error
173,ssr,massive,data/runs/20260330_190406/raw/run_173_ssr_massive.perfetto-trace,data/runs/20260330_190406/raw/run_173_ssr_massive.battery.csv,0.0,False,0,0.0,0.0,4.185,5.9,6,0.0,,,,,,,,adb_dumpsys_battery_polling,
174,csr,massive,data/runs/20260330_190406/raw/run_174_csr_massive.perfetto-trace,data/runs/20260330_190406/raw/run_174_csr_massive.battery.csv,0.0,False,0,0.0,0.0,4.187,7.1,7,0.0,,,,,,,,adb_dumpsys_battery_polling,
175,ssr,dynamic,data/runs/20260330_190406/raw/run_175_ssr_dynamic.perfetto-trace,data/runs/20260330_190406/raw/run_175_ssr_dynamic.battery.csv,0.0,False,0,0.0,0.0,4.187,5.9,6,0.0,,,,,,,,adb_dumpsys_battery_polling,
176,ssr,dynamic,data/runs/20260330_190406/raw/run_176_ssr_dynamic.perfetto-trace,data/runs/20260330_190406/raw/run_176_ssr_dynamic.battery.csv,0.0,False,0,0.0,0.0,4.186,6.1,6,0.0,,,,,,,,adb_dumpsys_battery_polling,
177,csr,massive,data/runs/20260330_190406/raw/run_177_csr_massive.perfetto-trace,data/runs/20260330_190406/raw/run_177_csr_massive.battery.csv,0.0,False,0,0.0,0.0,4.186,7.4,7,0.0,,,,,,,,adb_dumpsys_battery_polling,
178,ssr,dynamic,data/runs/20260330_190406/raw/run_178_ssr_dynamic.perfetto-trace,data/runs/20260330_190406/raw/run_178_ssr_dynamic.battery.csv,0.0,False,0,0.0,0.0,4.186,7.6,7,0.0,,,,,,,,adb_dumpsys_battery_polling,
179,ssr,dynamic,data/runs/20260330_190406/raw/run_179_ssr_dynamic.perfetto-trace,data/runs/20260330_190406/raw/run_179_ssr_dynamic.battery.csv,0.0,False,0,0.0,0.0,4.186,6.6,6,0.0,,,,,,,,adb_dumpsys_battery_polling,
17,ssr,massive,data/runs/20260330_190406/raw/run_17_ssr_massive.perfetto-trace,data/runs/20260330_190406/raw/run_17_ssr_massive.battery.csv,0.0,False,0,0.0,0.0,4.201,6.0,6,0.0,,,,,,,,adb_dumpsys_battery_polling,
180,ssr,static,data/runs/20260330_190406/raw/run_180_ssr_static.perfetto-trace,data/runs/20260330_190406/raw/run_180_ssr_static.battery.csv,0.0,False,0,0.0,0.0,4.186,6.0,6,0.0,,,,,,,,adb_dumpsys_battery_polling,
18,ssr,static,data/runs/20260330_190406/raw/run_18_ssr_static.perfetto-trace,data/runs/20260330_190406/raw/run_18_ssr_static.battery.csv,0.0,False,0,0.0,0.0,4.201,6.0,6,0.0,,,,,,,,adb_dumpsys_battery_polling,
